7376222AD118,2024-03-06,09:32:32
7376222AD194,2024-03-06,09:32:33
7376222AD194,2024-03-06,09:32:33
7376222AD118,2024-03-06,09:32:34
7376222AD118,2024-03-06,09:32:35
7376222AD194,2024-03-06,09:32:35
7376222AD194,2024-03-06,09:32:37
7376222AD118,2024-03-06,09:32:37
7376222AD118,2024-03-06,09:32:38
7376222AD118,2024-03-06,09:32:38
7376222AD118,2024-03-06,09:32:39
7376222AD194,2024-03-06,09:32:39
7376222AD118,2024-03-06,09:32:40
7376222AD194,2024-03-06,09:32:40
7376222AD118,2024-03-06,09:32:41
it1131,2024-03-06,09:33:27
7376222AD118,2024-03-06,09:33:41
7376222AD118,2024-03-06,09:33:41
7376222AD118,2024-03-06,09:33:42
7376222AD118,2024-03-06,09:33:43
Class Name,Date,Time
Class Name,Date,Time
7376222AD118,2024-03-06,09:56:44
7376222AD116,2024-03-06,09:57:01
7376222AD116,2024-03-06,09:57:03
7376222AD116,2024-03-06,09:57:04
7376222AD116,2024-03-06,09:57:05
7376222AD118,2024-03-06,09:57:07
7376222AD116,2024-03-06,09:57:07
7376222AD116,2024-03-06,09:57:08
7376222AD116,2024-03-06,09:57:14
7376222AD118,2024-03-06,09:57:16
7376222AD116,2024-03-06,09:57:19
7376222AD116,2024-03-06,09:57:20
7376222AD116,2024-03-06,09:57:21
Class Name,Date,Time
Class Name,Date,Time
7376221CS314,2024-03-06,14:19:19
7376221CS314,2024-03-06,14:19:20
7376222AD118,2024-03-06,14:19:22
7376222AD118,2024-03-06,14:24:40
7376221CS314,2024-03-06,14:24:41
7376221CS314,2024-03-06,14:24:42
7376221CS314,2024-03-06,14:24:42
7376222AD118,2024-03-06,14:25:04
Class Name,Date,Time
Class Name,Date,Time
7376221CS314,2024-03-06,14:38:43
7376222AD118,2024-03-06,14:38:45
7376222AD118,2024-03-06,14:38:45
7376222AD118,2024-03-06,14:38:46
7376222AD118,2024-03-06,14:38:46
7376221CS314,2024-03-06,14:38:48
7376221CS314,2024-03-06,14:38:49
7376221CS314,2024-03-06,14:38:50
7376221CS314,2024-03-06,14:38:50
7376222AD116,2024-03-06,14:38:51
7376221CS314,2024-03-06,14:38:53
7376222AD118,2024-03-06,14:38:53
7376222AD118,2024-03-06,14:38:54
7376221CS314,2024-03-06,14:38:54
7376221CS314,2024-03-06,14:38:55
7376222AD118,2024-03-06,14:38:56
7376222AD116,2024-03-06,14:38:56
7376221CS314,2024-03-06,14:38:56
7376222AD116,2024-03-06,14:38:56
7376222AD116,2024-03-06,14:38:57
7376221CS314,2024-03-06,14:38:58
7376221CS314,2024-03-06,14:38:58
7376222AD116,2024-03-06,14:38:58
7376221CS314,2024-03-06,14:38:59
7376222AD118,2024-03-06,14:39:00
7376222AD118,2024-03-06,14:39:02
7376222AD118,2024-03-06,14:39:05
7376222AD118,2024-03-06,14:39:05
7376221CS314,2024-03-06,14:39:06
7376222AD118,2024-03-06,14:39:06
7376221CS314,2024-03-06,14:39:06
7376221CS314,2024-03-06,14:39:08
7376222AD118,2024-03-06,14:39:09
7376222AD118,2024-03-06,14:39:09
7376221CS314,2024-03-06,14:39:09
7376222AD118,2024-03-06,14:39:10
7376222AD118,2024-03-06,14:39:10
7376222AD118,2024-03-06,14:39:11
7376222AD118,2024-03-06,14:39:14
7376222AD118,2024-03-06,14:39:14
7376222AD118,2024-03-06,14:39:15
7376222AD118,2024-03-06,14:39:15
7376222AD118,2024-03-06,14:39:17
it1131,2024-03-06,14:39:19
7376222AD118,2024-03-06,14:39:20
7376222AD118,2024-03-06,14:39:21
7376222AD118,2024-03-06,14:39:22
7376222AD116,2024-03-06,14:39:22
7376222AD116,2024-03-06,14:39:23
7376222AD116,2024-03-06,14:39:23
7376222AD116,2024-03-06,14:39:24
7376222AD118,2024-03-06,14:39:24
7376222AD118,2024-03-06,14:39:24
7376222AD118,2024-03-06,14:39:29
7376222AD118,2024-03-06,14:39:31
7376222AD118,2024-03-06,14:39:32
7376222AD118,2024-03-06,14:39:34
7376221CS280,2024-03-06,14:39:34
Class Name,Date,Time
Class Name,Date,Time
7376221CS280,2024-03-06,14:45:42
Class Name,Date,Time
7376222AD118,2024-03-06,14:48:26
7376222AD118,2024-03-06,14:48:27
7376221CS314,2024-03-06,14:48:28
7376222AD118,2024-03-06,14:48:29
7376222AD118,2024-03-06,14:48:36
7376222AD118,2024-03-06,14:48:36
7376222AD116,2024-03-06,14:48:36
7376222AD118,2024-03-06,14:48:38
7376222AD118,2024-03-06,14:48:38
Class Name,Date,Time
Class Name,Date,Time
7376222AD118,2024-03-06,14:54:27
7376222AD118,2024-03-06,14:54:28
